date,year,doy,tree_type,site,plot,plottag,species,dbh,kgc,basal_area
1998-06-03,1998,154,live,ems,F1,F1-933,rm,17.73,61.46,246.89
1998-06-03,1998,154,live,ems,G1,G1-153,rm,12.14,25.43,115.75
1998-06-03,1998,154,live,ems,G1,G1-165,rm,14.12,36.16,156.59
1998-06-03,1998,154,live,ems,G1,G1-175,ro,26.22,187.93,539.95
1998-06-03,1998,154,live,ems,G1,G1-176,rm,14.27,37.06,159.93
1998-06-03,1998,154,live,ems,H1,H1-302,ro,36.87,424.44,1067.67
1998-06-03,1998,154,live,ems,H1,H1-309,ro,33.91,347.5,903.12
1998-06-03,1998,154,live,ems,H1,H1-318,rm,20.44,85.61,328.13
1998-06-10,1998,161,live,ems,C1,C1-217,hem,27.49,106.73,593.53
1998-06-10,1998,161,live,ems,C1,C1-351,hem,19.13,44.09,287.42
1998-06-10,1998,161,live,ems,C1,C1-356,ro,34.93,373.01,958.27
1998-06-10,1998,161,live,ems,C1,C1-362,ro,40.36,526.86,1279.36
1998-06-10,1998,161,live,ems,C1,C1-366,ro,33.99,349.46,907.39
1998-06-10,1998,161,live,ems,C2,C2-380,rm,20.36,84.84,325.57
1998-06-10,1998,161,live,ems,C2,C2-386,ro,38.22,462.54,1147.28
1998-06-10,1998,161,live,ems,D1,D1-529,rm,22.11,102.81,383.94
1998-06-10,1998,161,live,ems,D1,D1-544,ro,30.08,260.95,710.63
1998-06-10,1998,161,live,ems,D2,D2-288,hem,14.04,20.77,154.82
1998-06-10,1998,161,live,ems,D2,D2-583,rm,20.48,86.01,329.42
1998-06-10,1998,161,live,ems,E1,E1-677,hem,24.57,81.14,474.13
1998-06-10,1998,161,live,ems,E1,E1-678,hem,14.74,23.38,170.64
1998-06-10,1998,161,live,ems,E5,E5-876,hem,30.67,139.46,738.78
1998-06-10,1998,161,live,ems,E5,E5-880,ro,31.94,301.18,801.23
1998-06-10,1998,161,live,ems,E5,E5-889,hem,24.35,79.38,465.68
1998-06-10,1998,161,live,ems,E5,E5-892,rm,19.51,76.81,298.95
1998-06-10,1998,161,live,ems,E5,E5-893,hem,23.12,69.95,419.82
1998-06-10,1998,161,live,ems,E5,E5-895,rm,20.71,88.27,336.86
1998-06-10,1998,161,live,ems,E5,E5-903,ro,25.37,173.7,505.51
1998-06-10,1998,161,live,ems,E5,E5-905,hem,19.75,47.65,306.35
1998-06-10,1998,161,live,ems,F1,F1-933,rm,17.73,61.46,246.89
1998-06-10,1998,161,live,ems,G1,G1-153,rm,12.15,25.48,115.94
1998-06-10,1998,161,live,ems,G1,G1-165,rm,14.12,36.16,156.59
1998-06-10,1998,161,live,ems,G1,G1-175,ro,26.22,187.93,539.95
1998-06-10,1998,161,live,ems,G1,G1-176,rm,14.28,37.12,160.16
1998-06-10,1998,161,live,ems,H1,H1-302,ro,36.87,424.44,1067.67
1998-06-10,1998,161,live,ems,H1,H1-309,ro,33.92,347.74,903.65
1998-06-10,1998,161,live,ems,H1,H1-318,rm,20.45,85.71,328.46
1998-06-17,1998,168,live,ems,C1,C1-217,hem,27.52,107.02,594.82
1998-06-17,1998,168,live,ems,C1,C1-351,hem,19.15,44.2,288.02
1998-06-17,1998,168,live,ems,C1,C1-356,ro,34.96,373.77,959.91
1998-06-17,1998,168,live,ems,C1,C1-362,ro,40.37,527.17,1279.99
1998-06-17,1998,168,live,ems,C1,C1-366,ro,34,349.71,907.92
1998-06-17,1998,168,live,ems,C2,C2-380,rm,20.36,84.84,325.57
1998-06-17,1998,168,live,ems,C2,C2-386,ro,38.24,463.12,1148.49
1998-06-17,1998,168,live,ems,D1,D1-529,rm,22.13,103.02,384.64
1998-06-17,1998,168,live,ems,D1,D1-544,ro,30.1,261.36,711.58
1998-06-17,1998,168,live,ems,D2,D2-288,hem,14.05,20.81,155.04
1998-06-17,1998,168,live,ems,D2,D2-583,rm,20.49,86.1,329.74
1998-06-17,1998,168,live,ems,E1,E1-677,hem,24.61,81.46,475.68
1998-06-17,1998,168,live,ems,E1,E1-678,hem,14.76,23.46,171.1
1998-06-17,1998,168,live,ems,E5,E5-876,hem,30.69,139.68,739.75
1998-06-17,1998,168,live,ems,E5,E5-880,ro,31.96,301.63,802.24
1998-06-17,1998,168,live,ems,E5,E5-889,hem,24.38,79.62,466.83
1998-06-17,1998,168,live,ems,E5,E5-892,rm,19.52,76.9,299.26
1998-06-17,1998,168,live,ems,E5,E5-893,hem,23.15,70.17,420.91
1998-06-17,1998,168,live,ems,E5,E5-895,rm,20.73,88.47,337.51
1998-06-17,1998,168,live,ems,E5,E5-903,ro,25.4,174.19,506.71
1998-06-17,1998,168,live,ems,E5,E5-905,hem,19.78,47.82,307.29
1998-06-17,1998,168,live,ems,F1,F1-933,rm,17.74,61.54,247.17
1998-06-17,1998,168,live,ems,G1,G1-153,rm,12.16,25.53,116.13
1998-06-17,1998,168,live,ems,G1,G1-165,rm,14.12,36.16,156.59
1998-06-17,1998,168,live,ems,G1,G1-175,ro,26.25,188.45,541.19
1998-06-17,1998,168,live,ems,G1,G1-176,rm,14.29,37.18,160.38
1998-06-17,1998,168,live,ems,H1,H1-302,ro,36.88,424.72,1068.25
1998-06-17,1998,168,live,ems,H1,H1-309,ro,33.93,347.99,904.19
1998-06-17,1998,168,live,ems,H1,H1-318,rm,20.48,86.01,329.42
1998-06-24,1998,175,live,ems,C1,C1-217,hem,27.53,107.11,595.25
1998-06-24,1998,175,live,ems,C1,C1-351,hem,19.17,44.31,288.63
1998-06-24,1998,175,live,ems,C1,C1-356,ro,34.96,373.77,959.91
1998-06-24,1998,175,live,ems,C1,C1-362,ro,40.37,527.17,1279.99
1998-06-24,1998,175,live,ems,C1,C1-366,ro,34,349.71,907.92
1998-06-24,1998,175,live,ems,C2,C2-380,rm,20.36,84.84,325.57
1998-06-24,1998,175,live,ems,C2,C2-386,ro,38.24,463.12,1148.49
1998-06-24,1998,175,live,ems,D1,D1-529,rm,22.13,103.02,384.64
1998-06-24,1998,175,live,ems,D1,D1-544,ro,30.12,261.78,712.52
1998-06-24,1998,175,live,ems,D2,D2-288,hem,14.06,20.84,155.26
1998-06-24,1998,175,live,ems,D2,D2-583,rm,20.5,86.2,330.06
1998-06-24,1998,175,live,ems,E1,E1-677,hem,24.63,81.63,476.45
1998-06-24,1998,175,live,ems,E1,E1-678,hem,14.77,23.5,171.34
1998-06-24,1998,175,live,ems,E5,E5-876,hem,30.69,139.68,739.75
1998-06-24,1998,175,live,ems,E5,E5-880,ro,31.97,301.86,802.74
1998-06-24,1998,175,live,ems,E5,E5-889,hem,24.39,79.7,467.21
1998-06-24,1998,175,live,ems,E5,E5-892,rm,19.52,76.9,299.26
1998-06-24,1998,175,live,ems,E5,E5-893,hem,23.15,70.17,420.91
1998-06-24,1998,175,live,ems,E5,E5-895,rm,20.73,88.47,337.51
1998-06-24,1998,175,live,ems,E5,E5-903,ro,25.42,174.52,507.51
1998-06-24,1998,175,live,ems,E5,E5-905,hem,19.79,47.88,307.6
1998-06-24,1998,175,live,ems,F1,F1-933,rm,17.73,61.46,246.89
1998-06-24,1998,175,live,ems,G1,G1-153,rm,12.15,25.48,115.94
1998-06-24,1998,175,live,ems,G1,G1-165,rm,14.12,36.16,156.59
1998-06-24,1998,175,live,ems,G1,G1-175,ro,26.27,188.79,542.01
1998-06-24,1998,175,live,ems,G1,G1-176,rm,14.31,37.31,160.83
1998-06-24,1998,175,live,ems,H1,H1-302,ro,36.88,424.72,1068.25
1998-06-24,1998,175,live,ems,H1,H1-309,ro,33.93,347.99,904.19
1998-06-24,1998,175,live,ems,H1,H1-318,rm,20.48,86.01,329.42
1998-07-01,1998,182,live,ems,C1,C1-217,hem,27.55,107.3,596.12
1998-07-01,1998,182,live,ems,C1,C1-351,hem,19.18,44.37,288.93
1998-07-01,1998,182,live,ems,C1,C1-356,ro,34.97,374.03,960.46
1998-07-01,1998,182,live,ems,C1,C1-362,ro,40.38,527.48,1280.63
1998-07-01,1998,182,live,ems,C1,C1-366,ro,34.01,349.95,908.45
1998-07-01,1998,182,live,ems,C2,C2-380,rm,20.36,84.84,325.57
1998-07-01,1998,182,live,ems,C2,C2-386,ro,38.25,463.4,1149.09
1998-07-01,1998,182,live,ems,D1,D1-529,rm,22.16,103.35,385.68
1998-07-01,1998,182,live,ems,D1,D1-544,ro,30.14,262.19,713.47
1998-07-01,1998,182,live,ems,D2,D2-288,hem,14.08,20.92,155.7
1998-07-01,1998,182,live,ems,D2,D2-583,rm,20.51,86.3,330.39
1998-07-01,1998,182,live,ems,E1,E1-677,hem,24.65,81.79,477.23
1998-07-01,1998,182,live,ems,E1,E1-678,hem,14.78,23.53,171.57
1998-07-01,1998,182,live,ems,E5,E5-876,hem,30.7,139.8,740.23
1998-07-01,1998,182,live,ems,E5,E5-880,ro,31.99,302.31,803.75
1998-07-01,1998,182,live,ems,E5,E5-889,hem,24.42,79.94,468.36
1998-07-01,1998,182,live,ems,E5,E5-892,rm,19.52,76.9,299.26
1998-07-01,1998,182,live,ems,E5,E5-893,hem,23.17,70.32,421.64
1998-07-01,1998,182,live,ems,E5,E5-895,rm,20.75,88.67,338.16
1998-07-01,1998,182,live,ems,E5,E5-903,ro,25.46,175.18,509.1
1998-07-01,1998,182,live,ems,E5,E5-905,hem,19.8,47.94,307.91
1998-07-01,1998,182,live,ems,F1,F1-933,rm,17.75,61.63,247.45
1998-07-01,1998,182,live,ems,G1,G1-153,rm,12.16,25.53,116.13
1998-07-01,1998,182,live,ems,G1,G1-165,rm,14.12,36.16,156.59
1998-07-01,1998,182,live,ems,G1,G1-175,ro,26.31,189.48,543.67
1998-07-01,1998,182,live,ems,G1,G1-176,rm,14.34,37.49,161.51
1998-07-01,1998,182,live,ems,H1,H1-302,ro,36.89,424.99,1068.83
1998-07-01,1998,182,live,ems,H1,H1-309,ro,33.96,348.73,905.79
1998-07-01,1998,182,live,ems,H1,H1-318,rm,20.51,86.3,330.39
1998-07-09,1998,190,live,ems,C1,C1-217,hem,27.56,107.4,596.55
1998-07-09,1998,190,live,ems,C1,C1-351,hem,19.19,44.42,289.23
1998-07-09,1998,190,live,ems,C1,C1-356,ro,34.99,374.54,961.56
1998-07-09,1998,190,live,ems,C1,C1-362,ro,40.38,527.48,1280.63
1998-07-09,1998,190,live,ems,C1,C1-366,ro,34.01,349.95,908.45
1998-07-09,1998,190,live,ems,C2,C2-380,rm,20.36,84.84,325.57
1998-07-09,1998,190,live,ems,C2,C2-386,ro,38.25,463.4,1149.09
1998-07-09,1998,190,live,ems,D1,D1-529,rm,22.16,103.35,385.68
1998-07-09,1998,190,live,ems,D1,D1-544,ro,30.16,262.61,714.42
1998-07-09,1998,190,live,ems,D2,D2-288,hem,14.08,20.92,155.7
