DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       CavityPressure            CavityTemp                Battery_Current           Battery_Temperature       Battery_Voltage           
2023-06-30                18:09:18.232              180.54812769              4333.155064               1688148558.232            2                         899                       2.3575120637E+00          2.2310068040E+00          -2.0786108280E+00         -1.7703379780E+00         1.6083144157E+01          7.0386095423E+02          4.4696830750E+01          -1.1574512010E+00         3.3402530670E+01          1.8993924198E+01          
2023-06-30                18:09:45.934              180.54844832              4333.162760               1688148585.935            2                         899                       1.8306354742E+00          1.8094904148E+00          1.1025880006E+03          1.0643913430E+03          3.3144837282E+00          7.0389430126E+02          4.4711082458E+01          -1.4254859275E+00         3.3651557922E+01          1.8954168737E+01          
2023-06-30                18:09:47.171              180.54846263              4333.163103               1688148587.171            2                         899                       1.8287783989E+00          1.8074095450E+00          1.1025880006E+03          1.0639583579E+03          3.3534198026E+00          7.0389492858E+02          4.4711082458E+01          -1.1439879951E+00         3.3651557922E+01          1.8997613831E+01          
2023-06-30                18:09:51.154              180.54850874              4333.164210               1688148591.155            2                         899                       1.8260150873E+00          1.8047032788E+00          1.0989840661E+03          1.0605243097E+03          3.3494828952E+00          7.0388522076E+02          4.4713462830E+01          -1.2935165775E+00         3.3651557922E+01          1.8974415924E+01          
2023-06-30                18:09:52.407              180.54852323              4333.164558               1688148592.407            2                         899                       1.8237584958E+00          1.8025013150E+00          1.0989840661E+03          1.0605742218E+03          3.3449785909E+00          7.0387020490E+02          4.4713462830E+01          -1.1549072992E+00         3.3651557922E+01          1.8993325821E+01          
2023-06-30                18:10:17.250              180.54881076              4333.171458               1688148617.250            2                         899                       1.9407536329E+00          1.9222655957E+00          4.7018357473E+02          4.5669472818E+02          2.7279768417E+00          7.0387595191E+02          4.4725730896E+01          -1.4157307732E+00         3.3651557922E+01          1.8959482408E+01          
2023-06-30                18:10:18.446              180.54882461              4333.171791               1688148618.446            2                         899                       1.9422805228E+00          1.9240050376E+00          4.7018357473E+02          4.5685712343E+02          2.6941760979E+00          7.0384928520E+02          4.4725730896E+01          -1.1557696458E+00         3.3651557922E+01          1.8998782556E+01          
2023-06-30                18:10:19.789              180.54884016              4333.172164               1688148619.790            2                         899                       1.9422998548E+00          1.9240241054E+00          4.6067663250E+02          4.4761957961E+02          2.6941883369E+00          7.0385383333E+02          4.4726876821E+01          -1.3219196899E+00         3.3651557922E+01          1.8971671881E+01          
2023-06-30                18:10:21.157              180.54885598              4333.172544               1688148621.157            2                         899                       1.9408101561E+00          1.9221628202E+00          4.6068152189E+02          4.4735400160E+02          2.7516290711E+00          7.0383681948E+02          4.4728202820E+01          -1.3327635590E+00         3.3651557922E+01          1.8970367002E+01          
2023-06-30                18:10:25.150              180.54890220              4333.173653               1688148625.150            2                         899                       1.9451634249E+00          1.9268006669E+00          4.4952583220E+02          4.3674381809E+02          2.7031141700E+00          7.0382021347E+02          4.4729732337E+01          -1.3737674533E+00         3.3651557922E+01          1.8959964790E+01          
2023-06-30                18:10:26.296              180.54891547              4333.173971               1688148626.297            2                         899                       1.9448670117E+00          1.9268680157E+00          4.4952977249E+02          4.3699422194E+02          2.6494735052E+00          7.0385049054E+02          4.4730827332E+01          -1.2759789228E+00         3.3651557922E+01          1.8968227386E+01          
2023-06-30                18:10:27.572              180.54893023              4333.174326               1688148627.572            2                         899                       1.9448670117E+00          1.9268680157E+00          4.3487058697E+02          4.2274382127E+02          2.6494735052E+00          7.0382066901E+02          4.4730827332E+01          -1.3773030532E+00         3.3651557922E+01          1.8945509336E+01          
2023-06-30                18:10:28.921              180.54894584              4333.174700               1688148628.921            0                         899                       1.9491839446E+00          1.9322466683E+00          4.3487058697E+02          4.2347133308E+02          2.4862470083E+00          7.0379661671E+02          4.4730827332E+01          -1.1164687872E+00         3.3651557922E+01          1.8948421478E+01          
2023-06-30                18:10:35.265              180.54901927              4333.176463               1688148635.265            2                         899                       1.9473605835E+00          1.9296234135E+00          4.4730038034E+02          4.3502053414E+02          2.6072041177E+00          7.0381322636E+02          4.4735636781E+01          -1.4092093959E+00         3.3651557922E+01          1.8947291456E+01          
2023-06-30                18:10:36.517              180.54903377              4333.176811               1688148636.518            2                         899                       1.9459309108E+00          1.9280142117E+00          4.4730162649E+02          4.3489083643E+02          2.6357913955E+00          7.0382652556E+02          4.4735984802E+01          -1.2880407588E+00         3.3651557922E+01          1.8944133329E+01          
2023-06-30                18:10:40.645              180.54908155              4333.177957               1688148640.646            2                         899                       1.9472108845E+00          1.9287974192E+00          4.6158309616E+02          4.4843626627E+02          2.7077725345E+00          7.0382582022E+02          4.4738266143E+01          -1.4765252491E+00         3.3651557922E+01          1.8966705853E+01          
2023-06-30                18:10:41.980              180.54909700              4333.178328               1688148641.981            2                         899                       1.9443053592E+00          1.9259371451E+00          4.6158402575E+02          4.4844963587E+02          2.7051296923E+00          7.0380144172E+02          4.4738517761E+01          -1.4303041831E+00         3.3651557922E+01          1.8955602507E+01          
