DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       CavityPressure            CavityTemp                Battery_Current           Battery_Temperature       Battery_Voltage           
2023-06-30                15:07:55.947              180.42217531              4330.132208               1688137675.947            2                         899                       1.9350521760E+00          1.9153192626E+00          -2.0786108280E+00         -2.0148627769E+00         2.9222226436E+00          7.0455206178E+02          4.1331840515E+01          -1.1537000549E+00         3.0663228989E+01          1.8993306937E+01          
2023-06-30                15:08:08.190              180.42231701              4330.135608               1688137688.190            2                         899                       1.9577949707E+00          1.9389400000E+00          5.0923971317E+02          4.9447327599E+02          2.7581936896E+00          7.0459789918E+02          4.1339286804E+01          -1.3791677975E+00         3.0663228989E+01          1.8945554733E+01          
2023-06-30                15:08:09.528              180.42233250              4330.135980               1688137689.528            2                         899                       1.9345132421E+00          1.9148440126E+00          5.0924762250E+02          4.9367483559E+02          2.9135147037E+00          7.0456967466E+02          4.1341216485E+01          -1.4102657394E+00         3.0663228989E+01          1.8964100023E+01          
2023-06-30                15:08:10.891              180.42234829              4330.136359               1688137690.892            2                         899                       1.9345446564E+00          1.9148749650E+00          5.1379600870E+02          4.9808402074E+02          2.9135360203E+00          7.0459030455E+02          4.1343070984E+01          -1.2545822614E+00         3.0663228989E+01          1.8980461626E+01          
2023-06-30                15:08:12.132              180.42236265              4330.136704               1688137692.133            2                         899                       1.9401143885E+00          1.9208609233E+00          5.1379600870E+02          4.9845306621E+02          2.8429959985E+00          7.0459832804E+02          4.1343070984E+01          -1.3983978894E+00         3.0663228989E+01          1.8960099606E+01          
2023-06-30                15:08:16.174              180.42240943              4330.137826               1688137696.175            2                         899                       1.9379899978E+00          1.9188942185E+00          5.2987600245E+02          5.1416302110E+02          2.8226018361E+00          7.0457323612E+02          4.1346824646E+01          -1.2082210171E+00         3.0663228989E+01          1.8979593315E+01          
2023-06-30                15:08:17.486              180.42242461              4330.138191               1688137697.486            2                         899                       1.9421586094E+00          1.9229726180E+00          5.2987600245E+02          5.1412348420E+02          2.8299216562E+00          7.0458584655E+02          4.1346824646E+01          -1.1522771775E+00         3.0663228989E+01          1.8991246331E+01          
2023-06-30                15:08:21.770              180.42247420              4330.139381               1688137701.771            2                         899                       1.9335043365E+00          1.9138822626E+00          5.2223397934E+02          5.0629342640E+02          2.9079903207E+00          7.0456672436E+02          4.1350456238E+01          -1.3433055593E+00         3.0663228989E+01          1.8967622087E+01          
2023-06-30                15:08:23.117              180.42248978              4330.139755               1688137703.117            2                         899                       1.9405729286E+00          1.9211018526E+00          5.2223397934E+02          5.0647004107E+02          2.8747681713E+00          7.0459100059E+02          4.1350456238E+01          -1.1301368009E+00         3.0663228989E+01          1.8996907203E+01          
2023-06-30                15:08:29.444              180.42256302              4330.141512               1688137709.445            2                         899                       1.9395245511E+00          1.9192702100E+00          5.0161915512E+02          4.8587294235E+02          2.9932656666E+00          7.0458071354E+02          4.1355005378E+01          -1.3889445603E+00         3.0663228989E+01          1.8963209973E+01          
